a,b,S_star,transcendental
-98.99497487437186,-85.92964824120602,-79.55804454760144,1
-98.99497487437186,-84.92462311557789,-99.26773224830569,1
-98.99497487437186,-83.91959798994975,-87.53989762876658,1
-98.99497487437186,-82.91457286432161,73.478752554969,1
-98.99497487437186,-81.90954773869348,56.97788252185674,1
-98.99497487437186,-80.90452261306532,-77.43923909331541,1
-98.99497487437186,-79.89949748743719,-65.05463309565103,1
-98.99497487437186,-78.89447236180905,30.931071330749653,1
-98.99497487437186,-77.8894472361809,97.84390005555721,1
-98.99497487437186,-76.88442211055276,38.93368401585644,1
-98.99497487437186,-75.87939698492463,-71.66091500907314,1
-98.99497487437186,-74.87437185929649,88.34252752038248,1
-98.99497487437186,-73.86934673366835,2.5002569351740718,1
-98.99497487437186,-72.8643216080402,98.9489567315307,1
-98.99497487437186,-71.85929648241206,-103.79387800803225,1
-98.99497487437186,-70.85427135678393,-115.62760775294171,1
-98.99497487437186,-69.84924623115577,110.63441469067942,1
-98.99497487437186,-68.84422110552764,96.15412097360945,1
-98.99497487437186,-67.8391959798995,25.253227929627776,1
-98.99497487437186,-66.83417085427136,81.72187928818525,1
-98.99497487437186,-65.82914572864323,-112.43915719426008,1
-98.99497487437186,-64.82412060301507,87.69800938892953,1
-98.99497487437186,-63.81909547738694,101.82903004258495,1
-98.99497487437186,-62.8140703517588,51.84578125483161,1
-98.99497487437186,-61.80904522613066,116.48466076526006,1
-98.99497487437186,-60.80402010050251,44.801915296944244,1
-98.99497487437186,-59.798994974874375,-112.6544226614922,1
-98.99497487437186,-58.79396984924624,-15.536705788761573,1
-98.99497487437186,-57.788944723618094,77.12391399545469,1
-98.99497487437186,-56.78391959798995,13.621518988179183,1
-98.99497487437186,-55.77889447236181,-90.60019411221704,1
-98.99497487437186,-54.773869346733676,26.67321720846425,1
-98.99497487437186,-53.76884422110553,73.36613928481005,1
-98.99497487437186,-52.76381909547739,-105.27802438378538,1
-98.99497487437186,-51.75879396984925,-65.99418022604152,1
-98.99497487437186,-50.75376884422111,-71.84263575053075,1
-98.99497487437186,-49.74874371859297,-31.7869102909699,1
-98.99497487437186,-48.743718592964825,61.302776761112455,1
-98.99497487437186,-47.73869346733669,-44.296441492075616,1
